PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA0400014,LAKE MADRONE WATER DISTRICT,Butte,LPA34,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA2700728,SAN ARDO WD,Monterey,SWRCB,Monterey-LPA,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA2810009,BERRYESSA PINES WATER SYSTEM,Napa,SWRCB,Napa-LPA,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA2810014,SPANISH FLAT WATER DISTRICT,Napa,SWRCB,Napa-LPA,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA4500303,TUCKER OAKS EAST WATER DISTRICT,Shasta,SWRCB,Shasta-LPA,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1000345,PANOCHE WATER DISTRICT,Fresno,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,Kern,SWRCB,,Water District,Consolidations,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1510016,RAND COMMUNITIES WATER DISTRICT,Kern,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1510052,NORTH EDWARDS WD,Kern,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1700579,VILLA BLUE ESTATES WATER DISTRICT,Lake,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1810003,LASSEN COUNTY WATER DISTRICT #1,Lassen,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA1910234,WALNUT VALLEY WATER DISTRICT,Los Angeles,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,Madera,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA2310012,IRISH BEACH WATER DISTRICT,Mendocino,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3010073,MOULTON NIGUEL WATER DISTRICT,Orange,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3010079,EL TORO WATER DISTRICT,Orange,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3010092,IRVINE RANCH WATER DISTRICT,Orange,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3010101,SANTA MARGARITA WATER DISTRICT,Orange,SWRCB,,Water District,Consolidations,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3110022,MCKINNEY WATER DISTRICT,Placer,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3301775,HIGH VALLEYS WATER DISTRICT,Riverside,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,Riverside,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3310040,FERN VALLEY WD,Riverside,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3310074,TEMESCAL VALLEY WATER DISTRICT,Riverside,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3700074,CUYAMACA WATER DISTRICT,San Diego,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3701837,WYNOLA WATER DISTRICT,San Diego,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3710036,BORREGO WD,San Diego,SWRCB,,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA3910023,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,San Joaquin,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA4510014,BELLA VISTA WATER DISTRICT,Shasta,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA4910029,CAMP MEEKER WATER SYSTEM,Sonoma,SWRCB,,Water District,Original,Water District,California Water District,,2019 MSR confirms is CA water district,2/7/2023,,,,,,,,,,,,,,,
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,Stanislaus,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA5210005,RIO ALTO WATER DISTRICT,Tehama,SWRCB,NO,Water District,Original,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA5810006,NORTH YUBA WATER DISTRICT,Yuba,SWRCB,NO,Water District,Consolidations,Water District,California Water District,,,,,,,,,,,,,,,,,,
CA0110006,CITY OF HAYWARD,Alameda,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0110008,CITY OF PLEASANTON,Alameda,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0110011,CITY OF LIVERMORE,Alameda,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0110012,TOWN OF SUNOL - SFPUC,Alameda,SWRCB,,City,Original,City,City,,"SFPUC is an appointed commission created by city charter, members nominated by mayor and confirmed the board of supervisors",1/27/2023,,,,,,,,,,,,,,,
CA0110018,SFPUC-PLEASANTON WELLS,Alameda,SWRCB,,City,Original,City,City,,"SFPUC is an appointed commission created by city charter, members nominated by mayor and confirmed the board of supervisors",1/27/2023,,,,,,,,,,,,,,,
