PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA3600260,SMILEY PARK COUNTRY CLUB,San Bernardino,SWRCB,San Bernardino-LPA,Private,Kristin,Ancillary,Non-profit corporation,HOA,,Not registered with IRS as mutual but registered with SOS as mutual benefit org and here looks like HOA https://www.smileyparkcc.com/ ,,,,,,,,,,,,,,,,
CA4200885,CHALK HILL ESTATES HOA,Santa Barbara,SWRCB,Santa Barbara-LPA,,New system ,Homeowners association,Non-profit corporation,HOA,,,,,,,,,,,,,,,,,,
CA1500566,SPRING MOUNTAIN MUTUAL WATER COMPANY,Kern,SWRCB,,,New system ,Mutual water company,Non-profit corporation,Mutual Water Company,,Mutual water company - not sure why its new on this list though has existed since 70s according to corporate records,2/8/2023,,,,,,,,,,,,,,,
CA4000834,ANZA VINEYARD ESTATES MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,,New system ,Mutual water company,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4900612,HEIGHTS MUTUAL WATER COMPANY,Sonoma,SWRCB,,,New system ,Mutual water company,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4900905,MARK WEST MEADOWS MUTUAL WATER,Sonoma,SWRCB,,,New system ,Mutual water company,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5305007,RUTH MUTUAL WATER COMPANY,Trinity,SWRCB,,,New system ,Mutual water company,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5403217,OKIEVILLE HIGHLAND ACRES MWC,Tulare,SWRCB,,,New system ,Mutual water company,Non-profit corporation,Mutual Water Company,,Yay!,,,,,,,,,,,,,,,,
CA0202504,MARKLEEVILLE WATER CO.,Alpine,LPA32,,Private,2021 update,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0409183,SIERRA MOON WATER COMPANY,Butte,LPA34,,Private,2021 update,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1000075,TRACT 1199 WATER SYSTEM,Fresno,SWRCB,,Private,2021 update,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200544,REDCREST WATER WORKS,Humboldt,SWRCB,,Private,2021 update,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200591,BIG LAGOON PARK WATER CO.,Humboldt,SWRCB,,Private,2021 update,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1503536,GLENNVILLE MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Consolidations,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1510015,OILDALE MWC,Kern,SWRCB,,MWC,Consolidations,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1300513,OCOTILLO MUTUAL WATER CO,Imperial,SWRCB,Imperial-LPA,MWC,Consolidations,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4500016,LAKEHEAD SUBD MUTUAL WATER CO,Shasta,SWRCB,Shasta-LPA,MWC,Consolidations,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
